"iyear","district","attackty_1","n_inc","sum_kill","sum_wound"
2009,"Orakzai Agency","Bombing/Explosion",0,0,0
2010,"Orakzai Agency","Bombing/Explosion",0,0,0
2011,"Orakzai Agency","Bombing/Explosion",4,27,0
2012,"Orakzai Agency","Bombing/Explosion",14,24,58
2013,"Orakzai Agency","Bombing/Explosion",5,34,52
2014,"Orakzai Agency","Bombing/Explosion",12,5,42
2015,"Orakzai Agency","Bombing/Explosion",6,9,14
2016,"Orakzai Agency","Bombing/Explosion",1,0,4
2000,"Pakpattan","Bombing/Explosion",0,0,0
2001,"Pakpattan","Bombing/Explosion",0,0,0
2002,"Pakpattan","Bombing/Explosion",0,0,0
2003,"Pakpattan","Bombing/Explosion",0,0,0
2004,"Pakpattan","Bombing/Explosion",0,0,0
2005,"Pakpattan","Bombing/Explosion",0,0,0
2006,"Pakpattan","Bombing/Explosion",0,0,0
2007,"Pakpattan","Bombing/Explosion",0,0,0
2008,"Pakpattan","Bombing/Explosion",0,0,0
2009,"Pakpattan","Bombing/Explosion",0,0,0
2010,"Pakpattan","Bombing/Explosion",0,0,0
2011,"Pakpattan","Bombing/Explosion",0,0,0
2012,"Pakpattan","Bombing/Explosion",0,0,0
2013,"Pakpattan","Bombing/Explosion",0,0,0
2014,"Pakpattan","Bombing/Explosion",0,0,0
2015,"Pakpattan","Bombing/Explosion",0,0,0
2016,"Pakpattan","Bombing/Explosion",0,0,0
2000,"Panjgur","Bombing/Explosion",0,0,0
2001,"Panjgur","Bombing/Explosion",0,0,0
2002,"Panjgur","Bombing/Explosion",0,0,0
2003,"Panjgur","Bombing/Explosion",0,0,0
2004,"Panjgur","Bombing/Explosion",0,0,0
2005,"Panjgur","Bombing/Explosion",1,0,0
2006,"Panjgur","Bombing/Explosion",0,0,0
2007,"Panjgur","Bombing/Explosion",1,3,5
2008,"Panjgur","Bombing/Explosion",0,0,0
2009,"Panjgur","Bombing/Explosion",1,0,7
2010,"Panjgur","Bombing/Explosion",2,1,7
2011,"Panjgur","Bombing/Explosion",0,0,0
2012,"Panjgur","Bombing/Explosion",3,1,6
2013,"Panjgur","Bombing/Explosion",16,0,1
2014,"Panjgur","Bombing/Explosion",32,4,15
2015,"Panjgur","Bombing/Explosion",12,1,4
2016,"Panjgur","Bombing/Explosion",1,0,0
2000,"Peshawar","Bombing/Explosion",0,0,0
2001,"Peshawar","Bombing/Explosion",0,0,0
2002,"Peshawar","Bombing/Explosion",0,0,0
2003,"Peshawar","Bombing/Explosion",0,0,0
2004,"Peshawar","Bombing/Explosion",2,0,3
2005,"Peshawar","Bombing/Explosion",1,4,8
2006,"Peshawar","Bombing/Explosion",6,10,52
2007,"Peshawar","Bombing/Explosion",20,51,72
2008,"Peshawar","Bombing/Explosion",24,41,95
2009,"Peshawar","Bombing/Explosion",62,260,772
2010,"Peshawar","Bombing/Explosion",51,60,175
2011,"Peshawar","Bombing/Explosion",77,96,294
2012,"Peshawar","Bombing/Explosion",175,267,595
2013,"Peshawar","Bombing/Explosion",185,300,752
2014,"Peshawar","Bombing/Explosion",148,284,501
2015,"Peshawar","Bombing/Explosion",27,68,91
2016,"Peshawar","Bombing/Explosion",48,39,128
2000,"Pishin","Bombing/Explosion",0,0,0
2001,"Pishin","Bombing/Explosion",0,0,0
2002,"Pishin","Bombing/Explosion",0,0,0
2003,"Pishin","Bombing/Explosion",0,0,0
2004,"Pishin","Bombing/Explosion",0,0,0
2005,"Pishin","Bombing/Explosion",1,1,4
2006,"Pishin","Bombing/Explosion",0,0,0
2007,"Pishin","Bombing/Explosion",0,0,0
2008,"Pishin","Bombing/Explosion",0,0,0
2009,"Pishin","Bombing/Explosion",1,6,12
2010,"Pishin","Bombing/Explosion",0,0,0
2011,"Pishin","Bombing/Explosion",0,0,0
2012,"Pishin","Bombing/Explosion",2,0,2
2013,"Pishin","Bombing/Explosion",3,5,6
2014,"Pishin","Bombing/Explosion",2,0,0
2015,"Pishin","Bombing/Explosion",2,0,0
2016,"Pishin","Bombing/Explosion",0,0,0
2000,"Poonch","Bombing/Explosion",0,0,0
2001,"Poonch","Bombing/Explosion",0,0,0
2002,"Poonch","Bombing/Explosion",0,0,0
2003,"Poonch","Bombing/Explosion",0,0,0
2004,"Poonch","Bombing/Explosion",0,0,0
2005,"Poonch","Bombing/Explosion",0,0,0
2006,"Poonch","Bombing/Explosion",0,0,0
2007,"Poonch","Bombing/Explosion",0,0,0
2008,"Poonch","Bombing/Explosion",0,0,0
2009,"Poonch","Bombing/Explosion",0,0,0
2010,"Poonch","Bombing/Explosion",1,0,14
2011,"Poonch","Bombing/Explosion",1,0,0
2012,"Poonch","Bombing/Explosion",0,0,0
2013,"Poonch","Bombing/Explosion",0,0,0
2014,"Poonch","Bombing/Explosion",1,0,0
2015,"Poonch","Bombing/Explosion",0,0,0
2016,"Poonch","Bombing/Explosion",1,0,0
2000,"Quetta","Bombing/Explosion",8,9,37
2001,"Quetta","Bombing/Explosion",3,5,34
2002,"Quetta","Bombing/Explosion",0,0,0
2003,"Quetta","Bombing/Explosion",2,53,53
2004,"Quetta","Bombing/Explosion",2,11,26
2005,"Quetta","Bombing/Explosion",6,1,2
2006,"Quetta","Bombing/Explosion",21,19,138
2007,"Quetta","Bombing/Explosion",5,23,66
2008,"Quetta","Bombing/Explosion",26,18,64
2009,"Quetta","Bombing/Explosion",39,3,97
2010,"Quetta","Bombing/Explosion",33,80,244
2011,"Quetta","Bombing/Explosion",24,69,140
2012,"Quetta","Bombing/Explosion",61,86,388
2013,"Quetta","Bombing/Explosion",103,390,918
2014,"Quetta","Bombing/Explosion",53,44,305
2015,"Quetta","Bombing/Explosion",50,30,80
2016,"Quetta","Bombing/Explosion",26,193,431
2000,"Rahim Yar Khan","Bombing/Explosion",0,0,0
2001,"Rahim Yar Khan","Bombing/Explosion",0,0,0
2002,"Rahim Yar Khan","Bombing/Explosion",0,0,0
2003,"Rahim Yar Khan","Bombing/Explosion",0,0,0
2004,"Rahim Yar Khan","Bombing/Explosion",0,0,0
2005,"Rahim Yar Khan","Bombing/Explosion",0,0,0
2006,"Rahim Yar Khan","Bombing/Explosion",0,0,0
2007,"Rahim Yar Khan","Bombing/Explosion",0,0,0
2008,"Rahim Yar Khan","Bombing/Explosion",0,0,0
2009,"Rahim Yar Khan","Bombing/Explosion",0,0,0
2010,"Rahim Yar Khan","Bombing/Explosion",0,0,0
2011,"Rahim Yar Khan","Bombing/Explosion",0,0,0
2012,"Rahim Yar Khan","Bombing/Explosion",1,0,1
2013,"Rahim Yar Khan","Bombing/Explosion",1,0,0
2014,"Rahim Yar Khan","Bombing/Explosion",10,3,2
2015,"Rahim Yar Khan","Bombing/Explosion",3,0,4
2016,"Rahim Yar Khan","Bombing/Explosion",1,1,2
2000,"Rajanpur","Bombing/Explosion",0,0,0
2001,"Rajanpur","Bombing/Explosion",0,0,0
2002,"Rajanpur","Bombing/Explosion",0,0,0
2003,"Rajanpur","Bombing/Explosion",0,0,0
2004,"Rajanpur","Bombing/Explosion",0,0,0
2005,"Rajanpur","Bombing/Explosion",0,0,0
2006,"Rajanpur","Bombing/Explosion",0,0,0
2007,"Rajanpur","Bombing/Explosion",1,0,0
2008,"Rajanpur","Bombing/Explosion",0,0,0
2009,"Rajanpur","Bombing/Explosion",0,0,0
2010,"Rajanpur","Bombing/Explosion",0,0,0
2011,"Rajanpur","Bombing/Explosion",1,0,0
2012,"Rajanpur","Bombing/Explosion",0,0,0
2013,"Rajanpur","Bombing/Explosion",2,0,0
2014,"Rajanpur","Bombing/Explosion",4,0,0
2015,"Rajanpur","Bombing/Explosion",0,0,0
2016,"Rajanpur","Bombing/Explosion",1,0,0
2000,"Rawalpindi","Bombing/Explosion",2,0,30
2001,"Rawalpindi","Bombing/Explosion",1,0,11
2002,"Rawalpindi","Bombing/Explosion",2,4,27
2003,"Rawalpindi","Bombing/Explosion",1,0,0
2004,"Rawalpindi","Bombing/Explosion",0,0,0
2005,"Rawalpindi","Bombing/Explosion",0,0,0
2006,"Rawalpindi","Bombing/Explosion",0,0,0
2007,"Rawalpindi","Bombing/Explosion",4,63,70
2008,"Rawalpindi","Bombing/Explosion",2,18,45
2009,"Rawalpindi","Bombing/Explosion",6,95,137
2010,"Rawalpindi","Bombing/Explosion",0,0,0
2011,"Rawalpindi","Bombing/Explosion",0,0,0
2012,"Rawalpindi","Bombing/Explosion",4,25,62
2013,"Rawalpindi","Bombing/Explosion",6,4,14
2014,"Rawalpindi","Bombing/Explosion",6,14,41
2015,"Rawalpindi","Bombing/Explosion",6,13,22
2016,"Rawalpindi","Bombing/Explosion",0,0,0
2000,"Sahiwal","Bombing/Explosion",0,0,0
2001,"Sahiwal","Bombing/Explosion",0,0,0
2002,"Sahiwal","Bombing/Explosion",1,1,1
2003,"Sahiwal","Bombing/Explosion",0,0,0
2004,"Sahiwal","Bombing/Explosion",0,0,0
2005,"Sahiwal","Bombing/Explosion",0,0,0
2006,"Sahiwal","Bombing/Explosion",1,0,0
2007,"Sahiwal","Bombing/Explosion",0,0,0
2008,"Sahiwal","Bombing/Explosion",0,0,0
2009,"Sahiwal","Bombing/Explosion",0,0,0
2010,"Sahiwal","Bombing/Explosion",0,0,0
2011,"Sahiwal","Bombing/Explosion",0,0,0
2012,"Sahiwal","Bombing/Explosion",0,0,0
2013,"Sahiwal","Bombing/Explosion",0,0,0
2014,"Sahiwal","Bombing/Explosion",0,0,0
2015,"Sahiwal","Bombing/Explosion",0,0,0
2016,"Sahiwal","Bombing/Explosion",0,0,0
2000,"Sajawal","Bombing/Explosion",0,0,0
2001,"Sajawal","Bombing/Explosion",0,0,0
2002,"Sajawal","Bombing/Explosion",0,0,0
2003,"Sajawal","Bombing/Explosion",0,0,0
2004,"Sajawal","Bombing/Explosion",0,0,0
2005,"Sajawal","Bombing/Explosion",0,0,0
2006,"Sajawal","Bombing/Explosion",0,0,0
2007,"Sajawal","Bombing/Explosion",0,0,0
2008,"Sajawal","Bombing/Explosion",0,0,0
2009,"Sajawal","Bombing/Explosion",0,0,0
2010,"Sajawal","Bombing/Explosion",0,0,0
2011,"Sajawal","Bombing/Explosion",0,0,0
2012,"Sajawal","Bombing/Explosion",0,0,0
2013,"Sajawal","Bombing/Explosion",0,0,0
2014,"Sajawal","Bombing/Explosion",0,0,0
2015,"Sajawal","Bombing/Explosion",0,0,0
2016,"Sajawal","Bombing/Explosion",0,0,0
2000,"Sanghar","Bombing/Explosion",0,0,0
2001,"Sanghar","Bombing/Explosion",0,0,0
2002,"Sanghar","Bombing/Explosion",0,0,0
2003,"Sanghar","Bombing/Explosion",0,0,0
2004,"Sanghar","Bombing/Explosion",0,0,0
2005,"Sanghar","Bombing/Explosion",0,0,0
2006,"Sanghar","Bombing/Explosion",0,0,0
2007,"Sanghar","Bombing/Explosion",0,0,0
2008,"Sanghar","Bombing/Explosion",1,1,13
2009,"Sanghar","Bombing/Explosion",1,0,0
2010,"Sanghar","Bombing/Explosion",0,0,0
2011,"Sanghar","Bombing/Explosion",0,0,0
2012,"Sanghar","Bombing/Explosion",1,0,0
2013,"Sanghar","Bombing/Explosion",3,0,1
2014,"Sanghar","Bombing/Explosion",2,0,8
2015,"Sanghar","Bombing/Explosion",2,0,15
2016,"Sanghar","Bombing/Explosion",0,0,0
2000,"Sargodha","Bombing/Explosion",0,0,0
2001,"Sargodha","Bombing/Explosion",0,0,0
2002,"Sargodha","Bombing/Explosion",0,0,0
2003,"Sargodha","Bombing/Explosion",0,0,0
2004,"Sargodha","Bombing/Explosion",0,0,0
2005,"Sargodha","Bombing/Explosion",0,0,0
2006,"Sargodha","Bombing/Explosion",0,0,0
2007,"Sargodha","Bombing/Explosion",2,13,28
2008,"Sargodha","Bombing/Explosion",0,0,0
2009,"Sargodha","Bombing/Explosion",0,0,0
2010,"Sargodha","Bombing/Explosion",1,1,14
2011,"Sargodha","Bombing/Explosion",0,0,0
2012,"Sargodha","Bombing/Explosion",0,0,0
2013,"Sargodha","Bombing/Explosion",0,0,0
2014,"Sargodha","Bombing/Explosion",0,0,0
2015,"Sargodha","Bombing/Explosion",2,2,1
2016,"Sargodha","Bombing/Explosion",0,0,0
2000,"Shaheed Benazirabad","Bombing/Explosion",0,0,0
2001,"Shaheed Benazirabad","Bombing/Explosion",0,0,0
2002,"Shaheed Benazirabad","Bombing/Explosion",0,0,0
2003,"Shaheed Benazirabad","Bombing/Explosion",0,0,0
2004,"Shaheed Benazirabad","Bombing/Explosion",1,0,6
2005,"Shaheed Benazirabad","Bombing/Explosion",1,0,0
2006,"Shaheed Benazirabad","Bombing/Explosion",0,0,0
2007,"Shaheed Benazirabad","Bombing/Explosion",0,0,0
2008,"Shaheed Benazirabad","Bombing/Explosion",1,0,0
2009,"Shaheed Benazirabad","Bombing/Explosion",0,0,0
2010,"Shaheed Benazirabad","Bombing/Explosion",1,0,0
2011,"Shaheed Benazirabad","Bombing/Explosion",3,0,0
2012,"Shaheed Benazirabad","Bombing/Explosion",8,0,0
2013,"Shaheed Benazirabad","Bombing/Explosion",2,0,0
2014,"Shaheed Benazirabad","Bombing/Explosion",1,0,0
2015,"Shaheed Benazirabad","Bombing/Explosion",1,0,0
2016,"Shaheed Benazirabad","Bombing/Explosion",0,0,0
2000,"Shangla","Bombing/Explosion",0,0,0
2001,"Shangla","Bombing/Explosion",0,0,0
2002,"Shangla","Bombing/Explosion",0,0,0
2003,"Shangla","Bombing/Explosion",0,0,0
2004,"Shangla","Bombing/Explosion",0,0,0
2005,"Shangla","Bombing/Explosion",0,0,0
2006,"Shangla","Bombing/Explosion",0,0,0
2007,"Shangla","Bombing/Explosion",1,5,0
2008,"Shangla","Bombing/Explosion",0,0,0
2009,"Shangla","Bombing/Explosion",1,0,3
2010,"Shangla","Bombing/Explosion",0,0,0
2011,"Shangla","Bombing/Explosion",2,0,0
2012,"Shangla","Bombing/Explosion",1,1,4
2013,"Shangla","Bombing/Explosion",8,13,6
2014,"Shangla","Bombing/Explosion",6,1,6
2015,"Shangla","Bombing/Explosion",0,0,0
2016,"Shangla","Bombing/Explosion",1,0,0
2000,"Sheikhupura","Bombing/Explosion",1,2,14
2001,"Sheikhupura","Bombing/Explosion",0,0,0
2002,"Sheikhupura","Bombing/Explosion",0,0,0
2003,"Sheikhupura","Bombing/Explosion",0,0,0
2004,"Sheikhupura","Bombing/Explosion",0,0,0
2005,"Sheikhupura","Bombing/Explosion",0,0,0
2006,"Sheikhupura","Bombing/Explosion",0,0,0
2007,"Sheikhupura","Bombing/Explosion",0,0,0
2008,"Sheikhupura","Bombing/Explosion",0,0,0
2009,"Sheikhupura","Bombing/Explosion",0,0,0
2010,"Sheikhupura","Bombing/Explosion",0,0,0
2011,"Sheikhupura","Bombing/Explosion",0,0,0
2012,"Sheikhupura","Bombing/Explosion",2,18,20
2013,"Sheikhupura","Bombing/Explosion",0,0,0
2014,"Sheikhupura","Bombing/Explosion",0,0,0
2015,"Sheikhupura","Bombing/Explosion",0,0,0
2016,"Sheikhupura","Bombing/Explosion",0,0,0
2000,"Sherani","Bombing/Explosion",0,0,0
2001,"Sherani","Bombing/Explosion",0,0,0
2002,"Sherani","Bombing/Explosion",0,0,0
2003,"Sherani","Bombing/Explosion",0,0,0
2004,"Sherani","Bombing/Explosion",0,0,0
2005,"Sherani","Bombing/Explosion",0,0,0
2006,"Sherani","Bombing/Explosion",0,0,0
2007,"Sherani","Bombing/Explosion",0,0,0
2008,"Sherani","Bombing/Explosion",0,0,0
2009,"Sherani","Bombing/Explosion",0,0,0
2010,"Sherani","Bombing/Explosion",0,0,0
2011,"Sherani","Bombing/Explosion",0,0,0
2012,"Sherani","Bombing/Explosion",0,0,0
2013,"Sherani","Bombing/Explosion",0,0,0
2014,"Sherani","Bombing/Explosion",0,0,0
2015,"Sherani","Bombing/Explosion",0,0,0
2016,"Sherani","Bombing/Explosion",0,0,0
2000,"Shikarpur","Bombing/Explosion",0,0,0
2001,"Shikarpur","Bombing/Explosion",0,0,0
2002,"Shikarpur","Bombing/Explosion",0,0,0
2003,"Shikarpur","Bombing/Explosion",0,0,0
2004,"Shikarpur","Bombing/Explosion",0,0,0
2005,"Shikarpur","Bombing/Explosion",0,0,0
2006,"Shikarpur","Bombing/Explosion",0,0,0
2007,"Shikarpur","Bombing/Explosion",0,0,0
2008,"Shikarpur","Bombing/Explosion",0,0,0
2009,"Shikarpur","Bombing/Explosion",0,0,0
2010,"Shikarpur","Bombing/Explosion",1,1,4
2011,"Shikarpur","Bombing/Explosion",0,0,0
2012,"Shikarpur","Bombing/Explosion",1,0,0
2013,"Shikarpur","Bombing/Explosion",2,5,28
2014,"Shikarpur","Bombing/Explosion",4,0,0
2015,"Shikarpur","Bombing/Explosion",1,62,46
2016,"Shikarpur","Bombing/Explosion",2,3,12
2000,"Sialkot","Bombing/Explosion",2,18,3
2001,"Sialkot","Bombing/Explosion",1,2,40
2002,"Sialkot","Bombing/Explosion",1,3,15
2003,"Sialkot","Bombing/Explosion",0,0,0
2004,"Sialkot","Bombing/Explosion",1,31,51
2005,"Sialkot","Bombing/Explosion",0,0,0
2006,"Sialkot","Bombing/Explosion",0,0,0
2007,"Sialkot","Bombing/Explosion",0,0,0
2008,"Sialkot","Bombing/Explosion",0,0,0
2009,"Sialkot","Bombing/Explosion",0,0,0
2010,"Sialkot","Bombing/Explosion",0,0,0
2011,"Sialkot","Bombing/Explosion",0,0,0
2012,"Sialkot","Bombing/Explosion",0,0,0
2013,"Sialkot","Bombing/Explosion",0,0,0
2014,"Sialkot","Bombing/Explosion",2,0,0
2015,"Sialkot","Bombing/Explosion",0,0,0
2016,"Sialkot","Bombing/Explosion",0,0,0
2000,"Sibi","Bombing/Explosion",0,0,0
2001,"Sibi","Bombing/Explosion",0,0,0
2002,"Sibi","Bombing/Explosion",1,0,0
2003,"Sibi","Bombing/Explosion",0,0,0
2004,"Sibi","Bombing/Explosion",0,0,0
2005,"Sibi","Bombing/Explosion",2,0,0
2006,"Sibi","Bombing/Explosion",1,0,0
2007,"Sibi","Bombing/Explosion",0,0,0
2008,"Sibi","Bombing/Explosion",0,0,0
2009,"Sibi","Bombing/Explosion",1,0,9
2010,"Sibi","Bombing/Explosion",1,0,11
2011,"Sibi","Bombing/Explosion",5,0,0
2012,"Sibi","Bombing/Explosion",4,16,46
2013,"Sibi","Bombing/Explosion",12,4,21
2014,"Sibi","Bombing/Explosion",11,20,85
2015,"Sibi","Bombing/Explosion",6,5,23
2016,"Sibi","Bombing/Explosion",11,2,11
2000,"Skardu","Bombing/Explosion",0,0,0
2001,"Skardu","Bombing/Explosion",0,0,0
2002,"Skardu","Bombing/Explosion",0,0,0
2003,"Skardu","Bombing/Explosion",0,0,0
2004,"Skardu","Bombing/Explosion",0,0,0
2005,"Skardu","Bombing/Explosion",0,0,0
2006,"Skardu","Bombing/Explosion",0,0,0
2007,"Skardu","Bombing/Explosion",0,0,0
2008,"Skardu","Bombing/Explosion",0,0,0
2009,"Skardu","Bombing/Explosion",0,0,0
2010,"Skardu","Bombing/Explosion",0,0,0
2011,"Skardu","Bombing/Explosion",0,0,0
2012,"Skardu","Bombing/Explosion",0,0,0
2013,"Skardu","Bombing/Explosion",0,0,0
2014,"Skardu","Bombing/Explosion",0,0,0
2015,"Skardu","Bombing/Explosion",0,0,0
2016,"Skardu","Bombing/Explosion",0,0,0
2000,"Sohbatpur","Bombing/Explosion",0,0,0
2001,"Sohbatpur","Bombing/Explosion",0,0,0
2002,"Sohbatpur","Bombing/Explosion",0,0,0
2003,"Sohbatpur","Bombing/Explosion",0,0,0
2004,"Sohbatpur","Bombing/Explosion",0,0,0
2005,"Sohbatpur","Bombing/Explosion",0,0,0
2006,"Sohbatpur","Bombing/Explosion",0,0,0
2007,"Sohbatpur","Bombing/Explosion",0,0,0
2008,"Sohbatpur","Bombing/Explosion",0,0,0
2009,"Sohbatpur","Bombing/Explosion",0,0,0
2010,"Sohbatpur","Bombing/Explosion",0,0,0
2011,"Sohbatpur","Bombing/Explosion",0,0,0
2012,"Sohbatpur","Bombing/Explosion",7,3,2
2013,"Sohbatpur","Bombing/Explosion",9,1,5
2014,"Sohbatpur","Bombing/Explosion",13,1,6
2015,"Sohbatpur","Bombing/Explosion",9,0,4
2016,"Sohbatpur","Bombing/Explosion",1,2,0
2000,"South Waziristan Agency","Bombing/Explosion",0,0,0
2001,"South Waziristan Agency","Bombing/Explosion",0,0,0
2002,"South Waziristan Agency","Bombing/Explosion",0,0,0
2003,"South Waziristan Agency","Bombing/Explosion",0,0,0
2004,"South Waziristan Agency","Bombing/Explosion",11,28,35
2005,"South Waziristan Agency","Bombing/Explosion",4,6,9
2006,"South Waziristan Agency","Bombing/Explosion",7,12,11
2007,"South Waziristan Agency","Bombing/Explosion",5,8,13
2008,"South Waziristan Agency","Bombing/Explosion",7,20,22
2009,"South Waziristan Agency","Bombing/Explosion",7,1,10
2010,"South Waziristan Agency","Bombing/Explosion",4,44,37
2011,"South Waziristan Agency","Bombing/Explosion",9,9,8
2012,"South Waziristan Agency","Bombing/Explosion",20,33,48
2013,"South Waziristan Agency","Bombing/Explosion",19,19,69
2014,"South Waziristan Agency","Bombing/Explosion",12,9,23
2015,"South Waziristan Agency","Bombing/Explosion",19,15,41
2016,"South Waziristan Agency","Bombing/Explosion",11,6,29
2000,"Sudhnutti","Bombing/Explosion",0,0,0
2001,"Sudhnutti","Bombing/Explosion",0,0,0
2002,"Sudhnutti","Bombing/Explosion",0,0,0
2003,"Sudhnutti","Bombing/Explosion",0,0,0
2004,"Sudhnutti","Bombing/Explosion",0,0,0
2005,"Sudhnutti","Bombing/Explosion",0,0,0
2006,"Sudhnutti","Bombing/Explosion",0,0,0
2007,"Sudhnutti","Bombing/Explosion",0,0,0
2008,"Sudhnutti","Bombing/Explosion",0,0,0
2009,"Sudhnutti","Bombing/Explosion",0,0,0
2010,"Sudhnutti","Bombing/Explosion",0,0,0
2011,"Sudhnutti","Bombing/Explosion",0,0,0
2012,"Sudhnutti","Bombing/Explosion",0,0,0
2013,"Sudhnutti","Bombing/Explosion",0,0,0
2014,"Sudhnutti","Bombing/Explosion",0,0,0
2015,"Sudhnutti","Bombing/Explosion",0,0,0
2016,"Sudhnutti","Bombing/Explosion",0,0,0
2000,"Sukkur","Bombing/Explosion",0,0,0
2001,"Sukkur","Bombing/Explosion",0,0,0
2002,"Sukkur","Bombing/Explosion",0,0,0
2003,"Sukkur","Bombing/Explosion",0,0,0
2004,"Sukkur","Bombing/Explosion",0,0,0
2005,"Sukkur","Bombing/Explosion",0,0,0
2006,"Sukkur","Bombing/Explosion",0,0,0
2007,"Sukkur","Bombing/Explosion",0,0,0
2008,"Sukkur","Bombing/Explosion",0,0,0
2009,"Sukkur","Bombing/Explosion",0,0,0
2010,"Sukkur","Bombing/Explosion",0,0,0
2011,"Sukkur","Bombing/Explosion",0,0,0
2012,"Sukkur","Bombing/Explosion",2,0,0
2013,"Sukkur","Bombing/Explosion",1,7,38
2014,"Sukkur","Bombing/Explosion",0,0,0
2015,"Sukkur","Bombing/Explosion",0,0,0
2016,"Sukkur","Bombing/Explosion",1,0,1
2000,"Swabi","Bombing/Explosion",0,0,0
2001,"Swabi","Bombing/Explosion",0,0,0
2002,"Swabi","Bombing/Explosion",0,0,0
2003,"Swabi","Bombing/Explosion",0,0,0
2004,"Swabi","Bombing/Explosion",0,0,0
2005,"Swabi","Bombing/Explosion",0,0,0
2006,"Swabi","Bombing/Explosion",0,0,0
2007,"Swabi","Bombing/Explosion",2,1,3
2008,"Swabi","Bombing/Explosion",2,1,8
2009,"Swabi","Bombing/Explosion",1,0,0
2010,"Swabi","Bombing/Explosion",1,2,0
2011,"Swabi","Bombing/Explosion",14,4,9
2012,"Swabi","Bombing/Explosion",32,0,14
2013,"Swabi","Bombing/Explosion",34,7,24
2014,"Swabi","Bombing/Explosion",6,1,1
2015,"Swabi","Bombing/Explosion",0,0,0
2016,"Swabi","Bombing/Explosion",5,2,7
2000,"Swat","Bombing/Explosion",0,0,0
2001,"Swat","Bombing/Explosion",2,0,0
2002,"Swat","Bombing/Explosion",1,0,12
2003,"Swat","Bombing/Explosion",0,0,0
2004,"Swat","Bombing/Explosion",1,2,30
2005,"Swat","Bombing/Explosion",0,0,0
2006,"Swat","Bombing/Explosion",0,0,0
2007,"Swat","Bombing/Explosion",23,126,161
2008,"Swat","Bombing/Explosion",43,49,110
2009,"Swat","Bombing/Explosion",17,1,4
2010,"Swat","Bombing/Explosion",5,6,43
2011,"Swat","Bombing/Explosion",4,3,3
2012,"Swat","Bombing/Explosion",7,1,6
2013,"Swat","Bombing/Explosion",7,36,79
2014,"Swat","Bombing/Explosion",6,0,4
2015,"Swat","Bombing/Explosion",3,3,5
2016,"Swat","Bombing/Explosion",8,1,14
2000,"Tando Allah Yar","Bombing/Explosion",0,0,0
2001,"Tando Allah Yar","Bombing/Explosion",0,0,0
2002,"Tando Allah Yar","Bombing/Explosion",0,0,0
2003,"Tando Allah Yar","Bombing/Explosion",0,0,0
2004,"Tando Allah Yar","Bombing/Explosion",0,0,0
2005,"Tando Allah Yar","Bombing/Explosion",0,0,0
2006,"Tando Allah Yar","Bombing/Explosion",0,0,0
2007,"Tando Allah Yar","Bombing/Explosion",0,0,0
2008,"Tando Allah Yar","Bombing/Explosion",0,0,0
2009,"Tando Allah Yar","Bombing/Explosion",0,0,0
2010,"Tando Allah Yar","Bombing/Explosion",0,0,0
2011,"Tando Allah Yar","Bombing/Explosion",0,0,0
2012,"Tando Allah Yar","Bombing/Explosion",0,0,0
2013,"Tando Allah Yar","Bombing/Explosion",0,0,0
2014,"Tando Allah Yar","Bombing/Explosion",0,0,0
2015,"Tando Allah Yar","Bombing/Explosion",1,1,3
2016,"Tando Allah Yar","Bombing/Explosion",0,0,0
2000,"Tando Muhammad Khan","Bombing/Explosion",0,0,0
2001,"Tando Muhammad Khan","Bombing/Explosion",0,0,0
2002,"Tando Muhammad Khan","Bombing/Explosion",0,0,0
2003,"Tando Muhammad Khan","Bombing/Explosion",0,0,0
2004,"Tando Muhammad Khan","Bombing/Explosion",0,0,0
2005,"Tando Muhammad Khan","Bombing/Explosion",0,0,0
2006,"Tando Muhammad Khan","Bombing/Explosion",0,0,0
2007,"Tando Muhammad Khan","Bombing/Explosion",0,0,0
2008,"Tando Muhammad Khan","Bombing/Explosion",0,0,0
2009,"Tando Muhammad Khan","Bombing/Explosion",0,0,0
2010,"Tando Muhammad Khan","Bombing/Explosion",0,0,0
2011,"Tando Muhammad Khan","Bombing/Explosion",0,0,0
2012,"Tando Muhammad Khan","Bombing/Explosion",0,0,0
2013,"Tando Muhammad Khan","Bombing/Explosion",0,0,0
2014,"Tando Muhammad Khan","Bombing/Explosion",0,0,0
2015,"Tando Muhammad Khan","Bombing/Explosion",0,0,0
2016,"Tando Muhammad Khan","Bombing/Explosion",0,0,0
2000,"Tank","Bombing/Explosion",0,0,0
2001,"Tank","Bombing/Explosion",0,0,0
2002,"Tank","Bombing/Explosion",0,0,0
2003,"Tank","Bombing/Explosion",1,0,0
2004,"Tank","Bombing/Explosion",1,0,2
2005,"Tank","Bombing/Explosion",0,0,0
2006,"Tank","Bombing/Explosion",0,0,0
2007,"Tank","Bombing/Explosion",5,18,16
2008,"Tank","Bombing/Explosion",1,0,0
2009,"Tank","Bombing/Explosion",1,0,0
2010,"Tank","Bombing/Explosion",1,0,0
2011,"Tank","Bombing/Explosion",1,1,4
2012,"Tank","Bombing/Explosion",10,0,6
2013,"Tank","Bombing/Explosion",9,1,8
2014,"Tank","Bombing/Explosion",6,3,11
2015,"Tank","Bombing/Explosion",6,0,0
2016,"Tank","Bombing/Explosion",1,0,0
2000,"Tharparkar","Bombing/Explosion",0,0,0
