iyear,imonth,iday,provstate,city,latitude,longitude,location,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,target1,gname,nkill,nwound,scite1
2014,6,9,Federally Administered Tribal Areas,Miran Shah,33,70.065,The incident occurred at the Boya checkpost near the city.,3,Bombing/Explosion,,,Checkpoint,Mujahideen Ansar,5,12,"""Three troops killed in suicide attack on post,"" Dawn (Pakistan), June 10, 2014."
2014,11,4,Khyber Pakhtunkhwa,Peshawar,34.015156,71.580534,,3,Bombing/Explosion,,,Muharram Procession,Unknown,5,8,"""Ashura processions conclude amid tight security,"" The Express Tribune, November 4, 2014."
2014,11,7,Federally Administered Tribal Areas,Chinari,34.600833,71.211667,,3,Bombing/Explosion,,,Van,Jamaat-ul-Ahrar,5,2,"""Roadside bombs kill six in NW Pakistan,"" Agence France Presse -- English, November 7, 2014."
2013,1,26,Khyber Pakhtunkhwa,Jamrud,33.982658,71.339779,Tirah Koki Khel Area,3,Bombing/Explosion,,,Housing Compound,Unknown,5,10,"""5 killed in Khyber mortar attack,"" Pakistan Today, January 26, 2013."
2013,3,9,Khyber Pakhtunkhwa,Peshawar,34.0087,71.575577,Occurred near Meena Bazaar,3,Bombing/Explosion,,,Mosque,Unknown,5,29,"""Pakistan: Police investigating to arrest mosque blast culprits,"" The News Online, March 11, 2013."
2013,4,20,Federally Administered Tribal Areas,Khar,34.73001,71.52159,The incident took place in Bajaur agency.,3,Bombing/Explosion,,,Hospital,Unknown,5,4,"""Bomb outside hospital kills four in NW Pakistan: officials,"" Agence France Presse -- English, April 20, 2013."
2013,4,25,Sindh,Karachi,24.962104,67.045718,The incident took place at the Nusrat Bhutto Colony area of the city.,3,Bombing/Explosion,,,Election Office,Tehrik-i-Taliban Pakistan (TTP),5,8,"""Bomb attacks on election offices kill six in Pakistan,"" Agence France Presse -- English, April 25, 2013."
2013,4,28,Khyber Pakhtunkhwa,Kohat,33.581733,71.433738,,3,Bombing/Explosion,,,Election Office of Candidate: Noor Akbar Khan,Tehrik-i-Taliban Pakistan (TTP),5,26,"""Taliban attacks target Pakistani politicians,"" Al Jazeera, April 29, 2013."
2013,5,9,Khyber Pakhtunkhwa,Tor Ghar,34.62219,72.799009,The incident took place in Tor Ghar district.,3,Bombing/Explosion,,,Patrol,Unknown,5,3,"""Roadside bombing kills five in Mansehra,"" Business Recorder, May 10, 2013."
2013,5,11,Sindh,Karachi,24.893379,67.028061,,3,Bombing/Explosion,,,Polling Station,Tehrik-i-Taliban Pakistan (TTP),5,18,"""Karachi: Twin bomb blasts kill 10,"" Dunya News, May 11, 2013."
2013,5,27,Khyber Pakhtunkhwa,Puran,34.743111,72.684426,The incident occurred in Shangla district.,3,Bombing/Explosion,,,Van,Tehrik-i-Taliban Pakistan (TTP),5,0,"""Bomb defused near police checkpost in Shangla,"" Dawn (Pakistan), May 4, 2016."
2013,6,3,Khyber Pakhtunkhwa,Shangla,34.801508,72.757002,,3,Bombing/Explosion,,,Deputy Superintendent of Police (DSP): Bahadur Khan,Unknown,5,0,"""Pakistan:Rising militancy: Five policemen die in Shangla bomb attack,"" The Express Tribune Online, June 6, 2013."
2013,7,6,Punjab,Lahore,31.564897,74.308684,The incident took place in the Old Anarkali area of the city.,3,Bombing/Explosion,,,Restaurant,Baloch Liberation Tigers (BLT),5,50,"""Pakistan's Lahore begins Ramadan fearful of violence,"" Agence France Presse -- English, July 11, 2013."
2013,9,23,Balochistan,Pishin district,30.689888,67.091918,The incident took place in the Saranan area.,3,Bombing/Explosion,,,Van,Tehrik-i-Taliban Pakistan (TTP),5,5,"""Bomb kills five in southwest Pakistan: police,"" Agence France Presse -- English, September 23, 2013."
2013,10,30,Federally Administered Tribal Areas,Sarwekai,34.009722,71.054722,,3,Bombing/Explosion,,,Vehicle,Unknown,5,2,"""AFP: Bomb Kills Two Soldiers In Northwest Pakistan,"" AFP (World Service), October 30, 2013."
2013,10,30,Balochistan,Quetta,30.209459,67.018173,Incident occurred in the Double Road area,3,Bombing/Explosion,,,Automotive Rapir Shop,Unknown,5,17,"""Bomb attacks leave 10 dead in Pakistan,"" Agence France Presse -- English, October 30, 2013."
2013,11,20,Federally Administered Tribal Areas,Shawa,33.256111,70.487289,,3,Bombing/Explosion,,,Checkpost,Mujahideen Ansar,5,12,"""AFP: Attack At Security Checkpoint Kills Two In Pakistan,"" AFP (World Service), November 20, 2013."
2012,1,12,Khyber Pakhtunkhwa,Azakhel,33.834489,71.593166,Occurred in Merikhel area,3,Bombing/Explosion,,,Civilians,Unknown,5,1,"""Mortar shell kills 4 children, woman in Bara,"" Daily Today's Muslim Peshawar, January 13, 2012."
2012,3,14,Federally Administered Tribal Areas,Kotki,34.920942,71.623948,The event occurred in Kotki in the Mamond tehsil of the Bajaur Agency.,3,Bombing/Explosion,,,Tribal Elders,Tehrik-i-Taliban Pakistan (TTP),5,2,"""Pakistani Taliban claims responsibly for Bajaur blast,"" The Press Trust of India Limited, March 15, 2012."
2012,4,5,Sindh,Karachi,24.893056,67.195278,The event occurred in the Malir City part of Karachi.,3,Bombing/Explosion,,,Convoy of Senior Official: Rao Anwar,Tehrik-i-Taliban Pakistan (TTP),5,14,"""Pakistani police killed in suicide blast,"" Al Jazeera English, April 5, 2012."
2012,5,1,Balochistan,Quetta,30.209304,67.018137,,3,Bombing/Explosion,,,Convoy,Tehrik-i-Taliban Pakistan (TTP),5,10,"""2 killed in   bomb explosion   in southwestern Pakistan,"" Japan Economic Newswire, May 1, 2012."
2012,6,18,Balochistan,Quetta,30.219157,66.995823,The incident occurred in the Jinnah Town area of the city.,3,Bombing/Explosion,,,Bus,Lashkar-e-Jhangvi,5,40,"""Car bomb kills Pakistan students: police,"" Agence France Presse, June 18, 2012."
2012,6,27,Balochistan,Sibi,29.547291,67.871513,,3,Bombing/Explosion,,,Train,Unknown,5,15,"""7 killed, 20 injured in Pakistan railway station bombing,"" CNN Wire, June 27, 2012."
2012,7,17,Khyber Pakhtunkhwa,Thal,33.370043,70.54496,,3,Bombing/Explosion,,,Checkpost,Tehrik-i-Taliban Pakistan (TTP),5,0,"""Militant   killed in gunfight,"" Kashmir Monitor (India), July 18, 2012."
2012,8,7,Balochistan,Turbat,26.004167,63.060556,Kech District,3,Bombing/Explosion,,,Officers,Unknown,5,7,"""Bomb kills five soldiers in Pakistan,"" Deutsche Presse-Agentur, August 8, 2012."
2012,8,6,Khyber Pakhtunkhwa,Bara,33.91752,71.46477,Khyber Agency,3,Bombing/Explosion,,,Unknown,Lashkar-e-Islam (Pakistan),5,0,"""5 militants killed by their own planted bomb,"" Frontier Star, August 7, 2012."
2012,11,21,Balochistan,Quetta,30.209304,67.018137,The event occurred in the Shahbaz Town area of the city.,3,Bombing/Explosion,,,Vehicle,Baloch Republican Army (BRA),5,15,"""14 people killed in four blasts in Pakistan,"" Press Trust of India, November 22, 2012."
2012,11,25,Khyber Pakhtunkhwa,Dera Ismail Khan,31.823759,70.9095,,3,Bombing/Explosion,,,Ashura Procession,Tehrik-i-Taliban Pakistan (TTP),5,83,"""Bomb hits Pakistani Shiite procession, kills 5,"" The Associated Press, November 25, 2012."
2012,12,5,Federally Administered Tribal Areas,Wana,32.30469,69.570315,,3,Bombing/Explosion,,,Zeri Noor Camp,Tehrik-i-Taliban Pakistan (TTP),5,9,"""Bomb Attack Kills 3 at Base In Pakistan,"" The New York Times, December 6, 2012."
2011,1,13,Federally Administered Tribal Areas,North Waziristan district,32.974638,70.14558,"In Tity Mada Khel village in North Waziristan, Federally Administered Tribal Areas, Pakistan.",3,Bombing/Explosion,,,Civilians,Unknown,5,6,"South Asia Terrorism Portal, ""Nine Persons Killed in Separate Incidents in FATA,"" Daily Times, http://www.satp.org/satporgtp/detailed_news3.asp?date3=2011%2F1%2F14#1 (January 14, 2011)."
2011,3,31,Balochistan,Turbat,26.004167,63.060556,Near the Tump area in Turbat district.,3,Bombing/Explosion,,,A local official was targeted in the attack.,Baloch Liberation Front (BLF),5,0,"Jane�s Intelligence, �IED Kills Five People in Pakistan's Balochistan,� Terrorism Watch Report, Daily Times, March 31, 2011."
2011,4,28,Sindh,Karachi,24.893379,67.028061,"In the Karsaz neighborhood on Shahrah-e-Faisal Road, Karachi.",3,Bombing/Explosion,,,A bus transporting naval officials,Tehrik-i-Taliban Pakistan (TTP),5,10,"Jane�s Intelligence, �IED Attack Kills Five People in Pakistan's Karachi,� Terrorism Watch Report, Al-Jazeera, BBC, and Reuters, April 28, 2011."
2011,6,16,Federally Administered Tribal Areas,Bajaur district,34.856902,71.429936,"In a village in the Mamoond area of Bajaur Agency, Federally Administered Tribal Areas, Pakistan.",3,Bombing/Explosion,2,Armed Assault,A village of civilians,Taliban,5,0,"Jane's Intelligence, ""Suspected Afghan Taliban Militants Attack Village in Pakistan's Bajaur,"" Terrorism Watch Report, June 16, 2011."
2011,8,12,Federally Administered Tribal Areas,Tirah,34.745,71.606667,"In Zaka Khel Village in Tirah valley, Federally Administered Tribal Areas, Pakistan.",3,Bombing/Explosion,,,It is unclear whether or not the civilians were targeted or responsible for the attack.,Taliban,5,1,"Press TV, �Bombing Attack Kills Five in Pakistan,"" http://www.presstv.ir/detail/193531.html (August 12, 2011)."
2011,11,16,Sindh,Karachi,24.893379,67.028061,The Sea View neighborhood of Karachi,3,Bombing/Explosion,,,Police officers in the Sea View area,Unknown,5,0,"""Three suicide bombers, one police killed in Pakistan,"" Agence France Presse, November 16, 2011."
2010,3,10,North-West Frontier Province,Oghi,34.4992004,73.01754,"In Mansehra district, North West Frontier Province, Pakistan.",3,Bombing/Explosion,2,Armed Assault,A World Vision office was targeted in the attack.,Tehrik-i-Taliban Pakistan (TTP),5,7,"Jane�s Intelligence, �Assault On Aid Agency Leaves Five Dead in Pakistan's Mansehra,� Terrorism Watch Report, March 10, 2010."
2010,7,15,Khyber Pakhtunkhwa,Mingora,34.774105,72.356142,,3,Bombing/Explosion,,,A bus stand,Unknown,5,40,"Press TV, �Violence Kills Nine in Pakistan,� http://www.presstv.ir/detail.aspx?id=134899&sectionid=351020401 (July 15, 2010)."
2010,10,22,Khyber Pakhtunkhwa,Peshawar,34.009667,71.579994,,3,Bombing/Explosion,,,A mosque was the target.,Unknown,5,22,"Press TV, ""Two Killed in Mosque Blast in Pakistan,"" Agence France Presse, http://www.presstv.ir/detail/147733.html (October 22, 2010)."
2009,2,21,North-West Frontier Province,Dera Ismail Khan,31.82851,70.907234,,3,Bombing/Explosion,,,Civilians,Unknown,5,0,"BBC Monitoring South Asia, ""Car Blast Kills Four in Pakistan Northwest,"" LexisNexis Academic, BBC Monitoring South Asia, February 21, 2009."
2009,3,11,North-West Frontier Province,Peshawar,34.009667,71.579994,,3,Bombing/Explosion,,,A house,Unknown,5,2,"Agence France Presse / AFP, ""4 Dead in Bid to Kill Pakistan Minister,"" Agence France Presse / AFP, http://www.thewest.com.au/aapstory.aspx?StoryName=557474 (March 12, 2009)."
2009,6,12,Punjab,Lahore,31.554606,74.357158,,3,Bombing/Explosion,,,A mosque,Tehrik-i-Taliban Pakistan (TTP),5,8,"National Counterterrorism Center, ""One Cleric, One Religious Worker, Three Civilians Killed, 11 Civilians Wounded in Suicide IED Attack by TTP in Lahore, Punjab, Pakistan,"" Worldwide Incidents Tracking System, November 16, 2009."
2009,7,29,North-West Frontier Province,Dera Ismail Khan,31.82851,70.907234,,3,Bombing/Explosion,,,"A Shia lawyer, Mastan Zaidi,",Unknown,5,4,"National Counterterrorism Center, ""One Private Security Guard Killed, Five Civilians Injured in Improvised Explosive Device Attack in Dera Ismail Khan, North-West Frontier, Pakistan,"" Worldwide Incidents Tracking System, January 5, 2010."
2009,9,29,North-West Frontier Province,Bannu,32.984995,70.606944,"On Khaisore Road, in Bannu,",3,Bombing/Explosion,,,The target of the attack was the vehicle of an anti-Taliban cleric.,Tehrik-i-Taliban Pakistan (TTP),5,1,"National Counterterrorism Center, ""Three Civilians, One Cleric Killed, One Civilian Injured in Suicide VBIED Attack by Suspected TTP in Bannu, North-West Frontier, Pakistan,"" Worldwide Incidents Tracking System, January 14, 2010."
2009,10,5,Islamabad Capital Territory,Islamabad,33.708988,73.053857,"In the World Food Program located on Street No 14, Sector F-8/3 in Islamabad, Pakistan.",3,Bombing/Explosion,,,Civilians,Tehrik-i-Taliban Pakistan (TTP),5,8,"Jane's Intelligence, ""Bomb Targets World Food Programme Offices In Pakistani Capital,"" Terrorism Watch Report, October 5, 2009."
2008,1,6,Federally Administered Tribal Areas,Shakai,32.483389,69.626894,,3,Bombing/Explosion,,,Followers,Tehrik-i-Taliban Pakistan (TTP),5,6,"""Enemies of Taliban slain in Pakistan,"" The Star-Ledger, January 8, 2008."
2008,11,22,North-West Frontier Province,Hangu,33.533541,71.057467,In the Tull sub-division,3,Bombing/Explosion,,,A mosque,Unknown,5,7,"Jane's Intelligence, ""Bomb Kills Civilians in Mosque in Pakistan's NWFP,"" Terrorism Watch Report, November 24, 2008."
2008,11,27,Federally Administered Tribal Areas,Wana,32.304722,69.570278,In Khaisor area of Wana.,3,Bombing/Explosion,,,A civilian jeep,Unknown,5,2,"Jane's Intelligence, ""Roadside Bomb Attack Kills Five in Pakistan's FATA,"" Terrorism Watch Report, November 28, 2008."
2008,12,13,North-West Frontier Province,Khwazakhela,34.935829,72.469165,The incident took place on a road in Jano area of Khawazakhela tehsil.,3,Bombing/Explosion,,,A civilian car,Unknown,5,0,"Xinhua, ""Five Killed in Roadside Bomb Blast in NW Pakistan,"" Xinhua, December 13, 2008, http://news.xinhuanet.com/english/2008-12/13/content_10500080.htm"
2007,6,2,Khyber Pakhtunkhwa,Khwar Dara,34.87593,72.650226,,3,Bombing/Explosion,,,Unknown,Unknown,5,0,"�World in brief,� Washington Post, June 3, 2007."
2007,8,24,Federally Administered Tribal Areas,Miran Shah,32.998617,70.067081,,3,Bombing/Explosion,,,soldiers,Unknown,5,30,"�Xinhua Told: Suicide Bombing Attack Kills 5, injures 30 in Northwest Pakistan� Xinhua.  August 24, 2007."
2007,11,29,Federally Administered Tribal Areas,Miran Shah,32.998617,70.067081,,3,Bombing/Explosion,,,A unit on patrol,Unknown,5,4,"�11 civilians killed in shelling in northern Pakistan, police official says,� The Associated Press, November 29, 2007."
2007,12,15,North-West Frontier Province,Nowshera,34.014167,71.976154,,3,Bombing/Explosion,,,Unknown,Unknown,5,,"�AFP: Police Report At Least Five Dead in Northwest Pakistan Suicide Bombing� AFP. December 15, 2007."
2006,3,2,Sindh,Karachi,24.893379,67.028061,,3,Bombing/Explosion,,,Unknown,Unknown,5,50,"Kenneth R. Bazinet, NO STOPPING BUSH. Pakistan blast fails to deter Prez's visit, Daily News (New York), March 3, 2006."
2006,4,3,Federally Administered Tribal Areas,North Waziristan district,32.94756,70.012672,Near Baigan village,3,Bombing/Explosion,,,Passenger pick-up truck in Baigan village,Unknown,5,3,"""Seven killed in NWA blast and shootout,� The Nation (Pakistan), April 03, 2006."
2006,4,3,Federally Administered Tribal Areas,Miran Shah,32.998617,70.067081,Data Khel village,3,Bombing/Explosion,,,A minibus in Data Khel village in North Waziristan,Unknown,5,3,"�Seven killed by blast, shootout in Pakistani tribal area,� Agence France Presse -- English, April 03, 2006."
2006,6,12,Balochistan,Quetta,30.182125,67.000517,,3,Bombing/Explosion,,,Unknown,Unknown,5,17,"�Pakistan Police Say Death Toll in Quetta Bomb Blast Rises to 5,� Agence France-Presse, June 12, 2006."
2006,7,3,North-West Frontier Province,Timergara,34.82702,71.84187,,3,Bombing/Explosion,,,Pakistani paramilitary vehicle,Unknown,5,7,"�Pakistan: Kamran Khan Interviews Sharif on Opposition Plan to Oust Musharraf,� Geo News TV, July 3, 2006."
2005,5,30,Sindh,Karachi,24.893379,67.028061,,3,Bombing/Explosion,,,Occupants of a Shi i mosque,Unknown,5,23,"�Pakistan: Three Assailants, Policeman Killed in Karachi Shia Mosque Blast,� The News, May 30, 2005."
2004,9,27,Unknown,Sarvakai,,,,3,Bombing/Explosion,,,"Pakistani Soldiers in Sarvakai, Pakistan",Unknown,5,,"�Five Soldiers Die in Attack on Pakistani Convoy Near Afghan Border,� Hong Kong AFP, September 27, 2004."
2002,3,17,Islamabad Capital Territory,Islamabad,33.708988,73.053857,,3,Bombing/Explosion,,,"Indiscriminate civilians inside a church located in Islamabad, Pakistan",Al-Qaida,5,46,"Ahmed Rashid, �Suicide Bomber Kills 5 in Pakistan Church: American Mother and Her Daughter Die in Sunday Attack,� The Vancouver Sun, March 18, 2002."
2001,6,13,Sindh,Karachi,24.824647,67.031608,Clifton area,3,Bombing/Explosion,,,Tandoori Hut restaurant and the five patrons,Unknown,5,0,"""Policemen killed, 10 injured as bombs rock Karachi during strike,"" Agence France-Presse, June 13, 2001."
2001,7,1,Sindh,Karachi,24.893379,67.028061,,3,Bombing/Explosion,,,Civillians in a cinema in Karachi,Unknown,5,8,"""Two killed, dozen injured in Karachi cinema blast and violence,"" Agence Presse France, July 02, 2001."
2011,9,13,Khyber Pakhtunkhwa,Peshawar,34.009667,71.579994,Matani area,2,Armed Assault,3,Bombing/Explosion,Civilians,Tehrik-i-Taliban Pakistan (TTP),5,0,"Faris Ali, ""Gunmen Kill Five on Pakistan School Bus,"" Reuters, September 13, 2011, http://www.trust.org/alertnet/news/gunmen-kill-five-on-pakistan-school-bus/."
2016,2,18,Balochistan,Gulistan,30.61247,66.576705,The incident occurred in Qila Abdullah district.,3,Bombing/Explosion,2,Armed Assault,Unknown,Unknown,4,0,"""Four terrorists killed in Chaman,"" The Nation Pakistan, February 19, 2016."
2016,3,31,Khyber Pakhtunkhwa,Kot Kashmir,32.740833,70.713889,The incident occurred at Kot Kashmir bridge.,3,Bombing/Explosion,,,Internally Displaced Persons (IDPs),Unknown,4,1,"""Four killed as 'explosives-laden' car goes off in Lakki,"" The News International (Asianet-Pakistan), April 1, 2016."
2016,10,7,Balochistan,Machh,29.864541,67.329481,,3,Bombing/Explosion,,,Jaffar Express Train,Baloch Liberation Army (BLA),4,0,"""Pakistan: Several killed in Balochistan train bombing,"" Al Jazeera, October 7, 2016."
2015,1,4,Federally Administered Tribal Areas,Kalaya,33.748011,70.962931,,3,Bombing/Explosion,,,Volleyball Match,Unknown,4,8,"""AFP: Bomb At Volleyball Match Kills Four Shiites In NW Pakistan,"" AFP (World Service), January 4, 2015."
2015,1,8,Federally Administered Tribal Areas,Shabak,33.423333,70.368889,,3,Bombing/Explosion,,,Vehicle,Unknown,4,3,"""4 soldiers die in Kurram IED blast,"" The Nation Pakistan, January 9, 2015."
2015,1,9,Federally Administered Tribal Areas,Bashak,33.741283,70.984739,The incident occurred in the Orakzai agency.,3,Bombing/Explosion,,,Patrol,Unknown,4,2,"""Blast, shelling in Tirah kill seven militants,"" The News International, January 10, 2015."
2015,1,16,Khyber Pakhtunkhwa,Dera Ismail Khan,31.829839,70.905344,,3,Bombing/Explosion,,,House of Assistant Sub-Inspector (ASI): Qaiser Jahan,Unknown,4,0,"""Rocket hits police van in D I Khan; 3 cops injured,"" Plus News Pakistan, January 17, 2015."
2015,1,14,Khyber Pakhtunkhwa,Dera Ismail Khan,31.830459,70.906995,,3,Bombing/Explosion,,,Residence of Assistant Sub-Inspector (ASI): Qaiser Jahan,Unknown,4,0,"""Pakistan: CTD cop shot dead in Peshawar,"" Right Vision News, January 28, 2015."
2015,2,3,Federally Administered Tribal Areas,Kurram district,33.695975,70.336069,The incident occurred in the Warmagai area,3,Bombing/Explosion,,,Vehicle,Tehrik-i-Taliban Pakistan (TTP),4,2,"""Roadside bomb kills four Pakistani troops in northwest,"" Agence France Presse -- English, February 3, 2015."
2015,2,17,Federally Administered Tribal Areas,Kurram district,33.695975,70.336069,The incident occurred in the Warmagai area,3,Bombing/Explosion,,,Convoy,Unknown,4,0,"""Four soldiers killed in Kurram   blast,"" The Frontier Post, February 17, 2015."
2015,3,20,Sindh,Karachi,24.972152,67.053014,The incident occurred in the Shahrah Noor Jahan area of North Karachi neighborhood,3,Bombing/Explosion,,,Patrol Mobile,Tehrik-i-Taliban Pakistan (TTP),4,4,"""Bomb kills 2 at Shiite mosque in Pakistan's largest city,"" The Associated Press, March 20, 2015."
2015,4,26,Balochistan,Sibi,29.539772,67.876755,The incident occurred in the Chakar Khan Road area in Sibi city.,3,Bombing/Explosion,,,Civilians,Baloch Republican Guards (BRG),4,18,"""Four killed in Sibi bomb explosion,"" The Nation Pakistan, April 27, 2015."
2015,5,6,Federally Administered Tribal Areas,Alizai,33.539147,70.343366,,3,Bombing/Explosion,,,Football Game,Tehrik-i-Taliban Pakistan (TTP),4,10,"""Two killed, 10 injured in Kurram school attack,"" Pakistan Today, May 6, 2015."
2015,5,23,Federally Administered Tribal Areas,Datta Khel,32.903369,69.751649,,3,Bombing/Explosion,,,Patrol,Unknown,4,2,"""Pak Blast: Four Security Personnel Killed,Two Injured,"" Outlook India, May 23, 2015."
2015,8,23,Federally Administered Tribal Areas,Khyber district,33.978003,70.838873,The incident occurred near the Khandwala Pass.,3,Bombing/Explosion,,,Checkpost,Unknown,4,4,"""Rocket attack by Afghan terrorists in Khyber Agency martyrs 4 soldiers,"" Dunya News, August 23, 2015."
2015,10,25,Federally Administered Tribal Areas,Khyber district,33.977877,70.838793,The incident occurred in the Khandwala Pass.,3,Bombing/Explosion,,,Checkpost,Unknown,4,4,"""Pakistan: Seven FC soldiers killed in Pak-Afghan border firing: ISPR,"" The Express Tribune Online, October 27, 2015."
2015,11,1,Balochistan,Dasht,29.798417,66.84691,The incident occurred in the Mastung district.,3,Bombing/Explosion,,,Jaffar Express Train,United Baloch Army (UBA),4,10,"""Blast kills four on train in Balochistan,"" Gulf News, November 1, 2015."
2014,1,3,Khyber Pakhtunkhwa,Peshawar,34.013334,71.583774,,3,Bombing/Explosion,,,Adult Cinema,Unknown,4,31,"""Pakistan: Gunmen kill 9 male relatives of slain cop,"" The Nation Online, January 10, 2014."
2014,1,17,Punjab,Kotli Behram,33.011614,73.481547,The incident occurred on a Khushhal Khan Khattak Express train as it traveled through the village from Peshawar to Karachi.,3,Bombing/Explosion,,,Khusal Khan Khattak Express Train,Baloch Republican Army (BRA),4,18,"""Four dead as bomb derails train,"" The Nation Pakistan, January 18, 2014."
2014,1,29,Sindh,Karachi,24.933392,67.033368,The incident occurred in the North Nazimabad neighborhood of the city.,3,Bombing/Explosion,,,Headquarters,Tehrik-i-Taliban Pakistan (TTP),4,5,"""Bomb attacks kill four in Pakistan's Karachi: officials,"" Agence France Presse -- English, January 29, 2014."
2014,2,24,Khyber Pakhtunkhwa,Peshawar,34.010835,71.571411,,3,Bombing/Explosion,,,Consulate,Tehrik-i-Taliban Pakistan (TTP),4,10,"""Two killed in suicide attack outside Iranian consulate in Pakistan,"" Reuters, February 24, 2014."
2014,4,15,Sindh,Bhit Shah,25.802059,68.491934,,3,Bombing/Explosion,,,Bagri Clan Members,Unknown,4,0,"""Explosion kills 3 including children near Matiari college Hala-Sindh,"" The News Tribe, April 15, 2014."
2014,4,25,Sindh,Karachi,24.831824,67.044474,"The incident occurred in the Delhi Colony of Karachi, Sindh.",3,Bombing/Explosion,,,Shia Worshipers,Tehrik-i-Taliban Pakistan (TTP),4,30,"""Pakistan: Police clueless about attackers behind Delhi Colony blast,"" Right Vision News, April 28, 2014."
2014,6,24,Federally Administered Tribal Areas,Spin Wam,33.173749,70.401907,,3,Bombing/Explosion,,,Checkpoint,Mujahideen Ansar,4,2,"""Car suicide bomb kills three in NW Pakistan: officials,"" Agence France Presse -- English, June 24, 2014."
2014,8,15,Khyber Pakhtunkhwa,Bara,33.920649,71.462801,,3,Bombing/Explosion,,,Unknown,Tehrik-i-Taliban Pakistan (TTP),4,0,"""Pakistan: Security forces,   militants   clash leave 4 insurgents dead,"" Right Vision News, August 17, 2014."
2014,11,11,Federally Administered Tribal Areas,Salarzai,34.744167,71.338333,,3,Bombing/Explosion,,,Deputy Tax Collector: Shaibzada Khan,Tehrik-i-Taliban Pakistan (TTP),4,2,"""Another Bajaur blast victim dies,"" Dawn (Pakistan), November 14, 2014."
2014,11,15,Federally Administered Tribal Areas,Data Khel,32.823611,70.0825,,3,Bombing/Explosion,,,Post,Hafiz Gul Bahadur Group,4,4,"""Four Pakistani soldiers dead, eight missing after checkpoint attack,"" Reuters, November 16, 2014."
2013,1,1,Sindh,Karachi,24.92808,67.064331,Federal B-Area,3,Bombing/Explosion,,,Buses of Activists,Tehrik-i-Taliban Pakistan (TTP),4,45,"""4 killed, 50 injured as bomb goes off near MQM rally,"" Press Trust of India, January 1, 2013."
2013,1,24,Sindh,Karachi,24.849992,67.199737,,3,Bombing/Explosion,,,First Responders,Tehrik-i-Taliban Pakistan (TTP),4,13,"""Two cops among four killed in Karachi blast,"" Daily The Post, January 26, 2013."
2013,2,14,Federally Administered Tribal Areas,Hasanzai Bazaar,33.707778,71.0025,City is located in Orakzai Agency,3,Bombing/Explosion,,,Zakhakhel Tribe Members,Tehrik-i-Taliban Pakistan (TTP),4,9,"""16 killed in terror attacks in northwest Pakistan,"" Press Trust of India, February 14, 2013."
2013,2,25,Sindh,Warro,27.862526,68.674936,Shikarpur District,3,Bombing/Explosion,,,Shrine,Unknown,4,26,"""Bomb kills two at Pakistan Sufi shrine: police,"" Agence France Presse -- English, February 25, 2013."
2013,4,16,Federally Administered Tribal Areas,Miranshah,32.99945,70.067182,The incident took place in North Waziristan agency.,3,Bombing/Explosion,,,Convoy,Unknown,4,8,"""Pakistan: Nine soldiers killed in NWA suicide attack,"" Right Vision News, April 18, 2013."
2013,4,21,Federally Administered Tribal Areas,Mir Ali,32.970704,70.278036,,3,Bombing/Explosion,,,Convoy,Mujahideen Ansar,4,6,"""Bomb kills four Pakistani soldiers near Afghan border,"" Agence France Presse -- English, April 21, 2013."
2013,5,8,Khyber Pakhtunkhwa,Domail,33.016667,70.75,,3,Bombing/Explosion,,,Police Station,Unknown,4,23,"""Two dead, 23 wounded in Pakistan suicide   attack: officials,"" Agence France Presse -- English, May 8, 2013."
2013,5,26,Khyber Pakhtunkhwa,Bannu district,32.988889,70.605556,Incident occurred in the Frontier Region,3,Bombing/Explosion,,,Soldiers,Unknown,4,6,"""Two security officials killed in Bannu checkpost attack,"" The News Tribe, May 26, 2013."
2013,6,30,Federally Administered Tribal Areas,Miran Shah,32.999308,70.066635,,3,Bombing/Explosion,,,Convoy,Unknown,4,16,"""Pakistan: Bomb hits military convoy in N. Waziristan; 4 troops killed,"" Right Vision News, July 2, 2013."
2013,6,30,Federally Administered Tribal Areas,Wana,32.304722,69.570278,,3,Bombing/Explosion,,,Civilians,Unknown,4,15,"""Bombs kill 53 in Pakistan as British PM visits: officials,"" Agence France Presse -- English, June 30, 2013."
2013,9,9,Khyber Pakhtunkhwa,Kohat,33.583401,71.433219,,3,Bombing/Explosion,2,Armed Assault,District Police Officer,Unknown,4,9,"""Pakistan: Cop, 3 terrorists killed in Kohat DPO office   attack,"" Right Vision News, September 11, 2013."
2013,9,19,Sindh,Karachi,24.893379,67.028061,Incident occurred in the Landhi neighborhood,3,Bombing/Explosion,,,Shia Civilians,Unknown,4,15,"""Nine Shiites injured in Pakistan hand   grenade attack,"" Agence France Presse -- English, September 19, 2013."
2013,12,12,Federally Administered Tribal Areas,Spinwam,33.173506,70.401762,The incident took place in North Waziristan agency.,3,Bombing/Explosion,,,Convoy,Mujahideen Ansar,4,5,"""Bomb kills four soldiers in northwest Pakistan: officials,"" Agence France Presse -- English, December 12, 2013."
2013,12,16,Khyber Pakhtunkhwa,Badaber,33.91399,71.557371,,3,Bombing/Explosion,,,Bomb Disposal Unit Vehicle,Unknown,4,1,"""Pakistan: Cop injured in   bomb attack,"" Right Vision News, December 19, 2013."
