iyear,imonth,iday,provstate,city,latitude,longitude,location,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,target1,gname,nkill,nwound,scite1
2013,1,10,Balochistan,Quetta,30.207454,67.015121,Along Alamdar Road,3,Bombing/Explosion,,,Billiards Hall,Lashkar-e-Jhangvi,54,85,"""Fears for Pakistan as blasts kill 125,"" Agence France Presse -- English, January 11, 2013."
2016,11,12,Balochistan,Khuzdar district,25.776572,67.019026,,3,Bombing/Explosion,,,Shrine,Khorasan Chapter of the Islamic State,53,100,"""Bombing at Sufi Shrine in Pakistan Kills Dozens,"" The New York Times, November 12, 2016."
2013,1,10,Balochistan,Quetta,30.207454,67.015121,Along Alamdar Road,3,Bombing/Explosion,,,First Responders,Lashkar-e-Jhangvi,53,84,"""Bomb blasts kill 199 people across Pakistan in January,"" Xinhua News Agency, January 31, 2013."
2003,7,4,Balochistan,Quetta,30.182125,67.000517,,3,Bombing/Explosion,2,Armed Assault,"Shia worshipers and religious members at the Mosque in Quetta, Pakistan.",Lashkar-e-Jhangvi,53,53,"�Pakistan: Persons killed in Quetta attack buried; toll rises to 53,� The News, July 06, 2003."
2011,4,3,Punjab,Dera Ghazi Khan,30.034319,70.639676,At the Sufi Muslim Sakhi Sarwar shrine in Dera Gazi Khan.,3,Bombing/Explosion,,,The Sufi Muslim Sakhi Sarwar shrine was targeted in the attack.,Tehrik-i-Taliban Pakistan (TTP),52,102,"Salmon Masood, �Blast at Pakistan Shrine Kills Dozens,� New York Times, April 3, 2011, http://www.nytimes.com/2011/04/04/world/asia/04pakistan.html?_r=1&ref=asia."
2010,12,6,Federally Administered Tribal Areas,Mohmand district,34.565494,71.477429,"In Ghalanai, Mohmand, Federally Administered Tribal Areas, Pakistan.",3,Bombing/Explosion,,,Tribal elders,Tehrik-i-Taliban Pakistan (TTP),52,60,"Press TV, ""Twin Bombs Kill 50 People in Pakistan,"" http://www.presstv.ir/detail/154138.html (December 6, 2010)."
2009,12,7,Punjab,Lahore,31.554606,74.357158,At the Moon Market in Lahore.,3,Bombing/Explosion,,,The Moon Market was targeted in the attack.,Unknown,51,150,"Agence France Presse, �Death Toll of Blast near Military Installations in Pakistan Rises to 12,� LexisNexis Academic, Agence France Presse, December 8, 2009."
2005,3,19,Punjab,Fatehpur,31.177809,71.209295,,3,Bombing/Explosion,,,Shrine of Saint Cheesal Shah,Unknown,51,,"�Pakistan: Death Toll in Shrine Blast Reaches 50,� The News, March 21, 2005."
2010,12,25,Federally Administered Tribal Areas,Bajaur district,34.856902,71.429936,Khar city,3,Bombing/Explosion,,,Members of the Salarzai tribe,Tehrik-i-Taliban Pakistan (TTP),48,72,"Press TV, ""Blast Kills 42, Injures 72 in Pakistan,"" http://www.presstv.ir/detail/157007.html (December 25, 2010)."
2011,9,15,Khyber Pakhtunkhwa,Dir,35.202293,71.873006,,3,Bombing/Explosion,,,Civilians,Tehrik-i-Taliban Pakistan (TTP),47,57,"Reuters, ""Blast at Pakistan Funeral Kills 20,"" Reuters, September 15, 2011, http://www.trust.org/alertnet/news/blast-at-pakistan-funeral-kills-20/."
2010,3,12,Punjab,Lahore,31.554606,74.357158,,3,Bombing/Explosion,,,An army patrol was targeted in the attack.,Tehrik-i-Taliban Pakistan (TTP),47,100,"Press TV, �Twin Lahore Bombings Kill 45, Wounding Dozens,� http://www.presstv.ir/detail.aspx?id=120650&sectionid=351020401 (March 12, 2010)."
2011,9,15,Khyber Pakhtunkhwa,Mayar Jandool,34.887684,71.66341,"The bombing occurred in the Jandol area of Lower Dir district, in Khyber Pakhtunkhwa, Pakistan.",3,Bombing/Explosion,,,Civilians,Unknown,46,65,"Press TV, ""Bomb Attack Kills 35 in NW Pakistan,"" http://www.presstv.ir/detail/199323.html, (September 15, 2011)."
2010,4,5,Khyber Pakhtunkhwa,Timergara,34.827821,71.841328,Lower Dir district,3,Bombing/Explosion,,,People at the Awami National Party  meeting,Unknown,46,100,"South Asia Terrorism Portal,""Forty Five Persons Killed and One Hundred Others Injured in Suicide Bomb Blast in NWFP,"" http://www.satp.org/satporgtp/detailed_news3.asp?date3=2010%2F4%2F06#top ( April 06, 2010)."
2013,3,3,Sindh,Karachi,24.941464,67.093003,Incident occurred in Abbas Town,3,Bombing/Explosion,,,Shiite Mosque,Tehrik-i-Taliban Pakistan (TTP),45,151,"""Blast Kills at Least 45 Pakistanis in Shiite District of Karachi,"" New York Times, March 3, 2013."
